Fecha,CPI Core,CPI Tradable,CPI Non-Tradable,CPI,CPI Non-Core,CPI Food and Energy,CPI Excluding Food and Energy,CPI Food and Beverages,CPI Excluding Food and Beverages,CPI Core Excluding Food and Beverages,CPI Imported,Wholesale Price Index,Reserve Requirement Rate,Monetary Policy Rate,Circulating Currency Seasonally Adjusted (mill S/),Net International Reserves (mill $),Real Minimum Wage (Index)
2007-02-01,0.16693463186282848,0.11825853558880499,0.21498953843648572,0.1749290424763334,0.18672283238035758,0.2304910391724409,0.10732946392766751,0.25520646235399436,0.10291192800774641,0.14162187416789063,0.36464370422760173,0.24728272716683145,8.87765523227276,4.5,0.023111626588539824,0.016079332175471972,-0.00258795809112633
2007-03-01,0.18335643438583613,0.15866799596973463,0.2411091624585389,0.20688047678202587,0.2400727559867131,0.287743660807793,0.1079416550783364,0.3129333687871669,0.11131955574367826,0.1436856900150794,0.46147517195333965,0.285680418220433,8.78434648551059,4.5,0.01480103749576167,0.016045434494927235,-0.0034762283856915044
2007-04-01,0.20077906391181785,0.20480742437287267,0.2572799005755625,0.2353478862809355,0.28379864091641094,0.33788200843529925,0.1092822074053875,0.3617291589445581,0.12102248739142323,0.1451688586791909,0.5603621255905941,0.3243066253949279,8.62396727844235,4.5,0.014528279772454633,0.06930048298692126,-0.0017788978849526682
2007-05-01,0.2184713595976215,0.25416368188310157,0.2709117428167969,0.26370432677251643,0.3266312455557312,0.3863847921801012,0.11193904915744507,0.40719382900538603,0.13324631645675591,0.14683280132426937,0.6555341816022682,0.368385326061829,9.0497652837141,4.5,0.021268554126570915,0.07952699959399112,-0.0048946409485898235
2007-06-01,0.2363316240184931,0.30284979963599545,0.290687966526951,0.2954404944294639,0.37698925296323305,0.4394430463940625,0.11630639066525608,0.45722827240334407,0.1476155549272805,0.1488749381861217,0.7418207842293217,0.4193493492695107,8.98373164744265,4.5,0.021972558852890733,0.012082177612712242,-0.004674962694487861
2007-07-01,0.2545589949833859,0.3461836574378328,0.3186301422249507,0.32977145845574524,0.43299291887833385,0.4964756638670432,0.12158019705178716,0.5138419373112223,0.16092485359308373,0.15081692502491686,0.8121248686628586,0.4741088827277433,8.94526044698103,4.75,0.011045006395472345,0.08384429580081765,-0.004732945003934397
2007-08-01,0.273469474158738,0.3821003930397058,0.3510143658394147,0.3636441875513198,0.48706907578275843,0.55208901482747,0.12759372900297572,0.5738662268091282,0.1701313786626253,0.15305005432288743,0.8588516723228542,0.5294188573375922,9.32473349960874,4.75,0.029760495872450887,0.03154330776153946,-0.0013672045729831162
2007-09-01,0.29326628694393797,0.41054953806763456,0.3845692824773113,0.39512377220145967,0.5342745347946698,0.6022008717460531,0.13485536630518302,0.6329328703580815,0.17533090688946656,0.15668089256706696,0.881028887636698,0.5831451610055554,8.39602787699219,5.0,0.01896525205495725,-0.05160164526984923,-0.006087718927392016
2007-10-01,0.3140798816605829,0.4333319621778073,0.4152810525003684,0.42257612335118283,0.570482058496025,0.6434443710694314,0.1439405638457127,0.6854302855020918,0.1786299973820554,0.16245228566292758,0.8821885217332348,0.632432147888613,8.5992650216756,5.0,0.026964504678543832,0.09037543260174363,0.056681863938309984
2007-11-01,0.33589857829915437,0.45160286272547107,0.4414624152554187,0.4454591999411057,0.5944886088326004,0.6737613709408223,0.15633293519903227,0.7269854007785763,0.18313439872495738,0.17086253922748565,0.8644762074139847,0.6760251014220073,8.26667301784684,5.0,0.019413896656777174,0.05857774206508637,-0.001108840774751041
2007-12-01,0.3579619965532992,0.46511783767893794,0.4632545265492365,0.4637723314660723,0.6074084682862406,0.69170976791193,0.17399490957632507,0.754529530311988,0.19179548969808569,0.18224931339664116,0.8269327899372536,0.7136800664463165,9.73533324087828,5.0,0.02540168805673848,0.05089570365872165,-0.004510611572490775
2008-01-01,0.379391639089471,0.47303439028558186,0.4825602717925918,0.4783495912696491,0.6124486908392657,0.6985967886957887,0.19747295530715758,0.7679892076476663,0.20658630907607858,0.19677986467458275,0.7681363741208102,0.7447949498942719,8.47596538456782,5.25,0.01557566327121429,0.11007981508902454,0.03543670081931416
2008-02-01,0.3989735769012917,0.47334084747755445,0.5028992884894972,0.4904818178334336,0.6143414828115316,0.6980112683888207,0.2252609182650973,0.7707414236073012,0.2269407109045142,0.21381102345806077,0.6883768529757953,0.7673204510613878,9.81345929849397,5.25,0.03806697295421091,0.05104597065426031,-0.008988653835784288
2008-03-01,0.41576941227333397,0.4637906484822714,0.5274380824353351,0.5011230796684234,0.6166135990237033,0.6940045892840161,0.2547039657905691,0.7688922600565936,0.24919399391857208,0.2318770830807255,0.5884180937779897,0.7752400272792305,9.05250597360972,5.25,0.030838786643803795,0.03931158298768023,-0.010311080557034558
2008-04-01,0.42929872804739916,0.4411028456090032,0.5558515764493082,0.5087151128816028,0.6162513482984392,0.6857812145421419,0.2830086534081247,0.7652292250438902,0.2674684243772865,0.24972244160301313,0.46570953247561564,0.760001694592518,12.0038907733631,5.5,0.03603822603890405,0.06102573266619005,-0.001539826603477512
2008-05-01,0.439731684510614,0.40338950907250143,0.5822426437223267,0.5089852183301317,0.6029357608181329,0.6666586057299895,0.30845499709448104,0.7556721896969222,0.2768281644639054,0.2670583915071518,0.3181494130774036,0.7151801728033202,13.5924449287886,5.5,0.01789518011956126,-0.02150175438596491,-0.003681309684951617
2008-06-01,0.4468364250424418,0.35337431565461463,0.6013212456826018,0.4999393087344857,0.5722616961072209,0.6336987091755175,0.3299341386689375,0.7367782394296108,0.2763931241349249,0.2837994902164177,0.15299353848608724,0.641070672258547,13.8567399133011,5.75,0.013576949234889168,0.018904730485670873,-0.007637247504660882
2008-07-01,0.4498026858356544,0.2962411527802655,0.6100588313840668,0.48192245311370907,0.5261435808825088,0.5885928251076558,0.3463223472164752,0.7072928394198472,0.26827191201970624,0.29866312500720443,-0.016476828201315488,0.5422946558611782,12.6226810811728,6.0,0.003721746444004248,-0.019004448448673883,-0.005524034728116467
2008-08-01,0.4480840911162863,0.23751584658656216,0.6061637287699893,0.455799832050252,0.4673956073786809,0.533728450262847,0.3568679707749337,0.6661532796027452,0.25545705586509426,0.3102787821239128,-0.17554050583049743,0.4249615416219526,11.4728760740044,6.25,0.0050086178100472445,0.0021238125304938738,-0.005870188615946459
2008-09-01,0.44150903366016936,0.1823995977713001,0.585784164823393,0.4213700947721881,0.3956613111973835,0.4686326074032102,0.361810219995789,0.6104143948435984,0.24050299615321197,0.3177862511054454,-0.31459652811856886,0.29744874364040713,10.7876011054917,6.5,0.01759613717302755,-0.00615745911733534,-0.0056400231941106105
2008-10-01,0.42976949433136724,0.13411634349549204,0.5495426804753025,0.3802857767462641,0.3149235856989469,0.39577520357827844,0.36143042944699844,0.541645969096913,0.22499819759509757,0.3209678548990548,-0.4302148594395186,0.16927282804199847,11.862506253031,6.5,0.003966183227424036,-0.07979367183447639,-0.006093923709230342
2008-11-01,0.4125376928938068,0.09365729260275645,0.5004598255526173,0.3347371357601575,0.23066532693289535,0.31942571711641427,0.3551454645760395,0.4646025931024974,0.20869678020802399,0.31936065723313695,-0.5192713956729744,0.045849503917768104,10.084114118979,6.5,0.006653338408811438,-0.03015689099051133,-0.003080715054006533
2008-12-01,0.3904773171073464,0.06067995232385861,0.44301802679708613,0.2872378542311495,0.14816855396057357,0.2453885322609201,0.34156524772140917,0.3870070196679835,0.18944996407259312,0.31220243263085895,-0.5813433015120009,-0.06956526604157968,12.516334174122,6.5,-0.005560794574124728,0.00729738456570872,-0.003589304919205949
2009-01-01,0.36452650832535954,0.03314551257033857,0.38289386627069616,0.24033308921292634,0.07257519260239373,0.1787898616436121,0.3202098152598177,0.3171122827241084,0.16454292828282527,0.2993117753693843,-0.6213071945289681,-0.17420917660145052,9.83360754732225,6.5,0.003131893114617812,-0.03519682010514169,-0.0010566731362895432
2009-02-01,0.3361945981117268,0.009803252688942783,0.32186295853108626,0.19460304392153407,0.0033518716043904437,0.11968030155704965,0.29251453578832215,0.2564139633322093,0.13380642784388205,0.2816982838728054,-0.6434751147540935,-0.26657178588461894,8.2919723127372,6.25,0.001247999814633305,-0.022792212107116794,0.0007484267356403507
2009-03-01,0.3071150137159647,-0.007806588641752075,0.26146578958307803,0.15161944045136613,-0.058058847630376324,0.06901622272386919,0.260917758609171,0.20429390552648363,0.10089628206525315,0.26154280259632956,-0.644205855822202,-0.3386652620005297,8.82837359466158,6.0,0.00020577180166814202,0.05157758737930096,-0.0035892617566658513
2009-04-01,0.2787813763864909,-0.015198422817413794,0.20534280520416354,0.11532526304626893,-0.10447900623309926,0.03177062626927376,0.22834545838514989,0.1628877081110097,0.07161776561769587,0.2406050390904224,-0.6153521000881365,-0.37942858170285,8.8776399503982,5.0,-0.006444404620069122,0.00484981732354739,-0.0001900772514108473
2009-05-01,0.25192392593224944,-0.00944792765429239,0.1557921203902557,0.08820008007643021,-0.13113665262439764,0.011104516286510602,0.19677224126712828,0.13211183351039044,0.05097690009902624,0.21905680151140233,-0.5518352139488945,-0.3844616697850927,8.22146967540043,4.0,0.003148844837117748,0.0035393674185140167,0.00043024491014742594
2009-06-01,0.22693935386442726,0.009686927309216916,0.11156436130008464,0.06951501947211652,-0.14062207981902036,0.0039086467895766775,0.1680107569203341,0.1080241926219985,0.04078987794419531,0.1970604985369298,-0.4582440480203308,-0.3557691238931112,8.37258648376245,3.0,0.011951904029301463,-0.012792971881111947,0.0034073344800349403
2009-07-01,0.2046966269569718,0.04012568988138727,0.0731115055835105,0.05867035657692312,-0.13591881086719815,0.006792196347353832,0.14419369809359306,0.0884641680887114,0.04125397043244271,0.17595365637284024,-0.3431166992773085,-0.2977584203189794,9.3340612076001,2.0,0.01569014672640945,0.04218902240987332,-0.001863404075389541
2009-08-01,0.18589582810391017,0.07780651353210617,0.0439514978242305,0.05620123356837108,-0.11629027808610409,0.02017391456848644,0.12605750383812375,0.07642797614305794,0.0507093368319912,0.1567590001216166,-0.21673002979219327,-0.2176288461456646,7.80579700395871,1.25,0.01247885616317923,-0.004175885817569891,0.002078351389055655
2009-09-01,0.17109734494487783,0.11687966241734309,0.02818448987315783,0.06231016405737944,-0.08129046918468481,0.0458917412677085,0.11225163836639038,0.07753089252956846,0.06478661700334237,0.140016417936642,-0.09251321398186202,-0.12710615324753824,8.56548050070261,1.25,0.009182989976006528,0.005476451259583737,0.0008726259905695866
2009-10-01,0.16027542166472084,0.15088297301334508,0.027347406570345765,0.07537794951876885,-0.034346302745651335,0.08186799386459723,0.10177965648685099,0.09363141155431602,0.07859274639918995,0.12586051971697418,0.01658778788372683,-0.03752461499420366,8.0541580411717,1.25,0.00953418706629705,0.024587612822907,-0.0012247586838809443
2009-11-01,0.1533787071798155,0.17574772481724968,0.040094795146892084,0.0929912266043657,0.018668505945558633,0.12397286051066006,0.09416044521184685,0.1232352697302124,0.08876335074163771,0.11468898084370563,0.10135709490573262,0.04324910134408486,7.59172124459124,1.25,0.019747695719815495,0.015431348724179728,0.0011219324383320295
2009-12-01,0.1502695295970648,0.19019163167033176,0.06216884752147364,0.11208518091062497,0.06988936555425908,0.16566447323258868,0.08979299786353964,0.15868928037991298,0.09586583599608828,0.10761483367402876,0.16008591992391516,0.11194265216327351,9.34554991623123,1.25,0.01644570405696899,-0.008765107095847768,-0.003161041664900388
2010-01-01,0.15040249687886656,0.1972591974145737,0.08769393630910986,0.1303080855444596,0.1137435322693191,0.2017243190563365,0.08915333053707594,0.19064542164455353,0.1033208479373286,0.10516040492618005,0.20189289172479144,0.17048397332773424,7.59672417483289,1.25,0.01618183731732703,0.036426739097630945,-0.0029504327751910253
2010-02-01,0.15251902956034613,0.2013501235118833,0.1126114030980558,0.14691518080160643,0.14996109685715983,0.23130431077358138,0.09138463778896866,0.21489359002133637,0.11325110774932498,0.1061840671841834,0.2375933880565959,0.22273620426881585,7.21609029844799,1.25,0.01806332176760206,0.01945140061731987,-0.0032147131687916275
